Item,Type,Price (THB),Price (CNY),Note
Air tickets (BKK - HKG Roundtrip),Air ticket,8859,1804,ตั๋วเครื่องบินไป-กลับ
โรงแรมย่านจิมซาจุ่ย (3 Nights),Hotel,8383,1707,โรงแรมใจกลางจิมซาจุ่ย
ทริปไหว้พระฮ่องกง (Blessing Tour),Tour,2500,509,ทริปไหว้พระเสริมสิริมงคล 1 วัน (Day 3)
รถไฟความเร็วสูง (West Kowloon - Futian ไป-กลับ),Transit,800,163,High Speed Train HK-Shenzhen
บัตร Peak Tram + Sky Terrace 428,Ticket,680,138,รถรางพีคแทรมและจุดชมวิวสกายเทอเรซ
เรือข้ามฟากสตาร์เฟอร์รี่ (Star Ferry),Transit,40,8,นั่งเรือข้ามอ่าววิคตอเรีย
DiDi และแท็กซี่ในฮ่องกง/เซินเจิ้น,Car,850,173,การเดินทางในเมือง
ประกันการเดินทาง (Travel Insurance),Other,450,92,ประกันการเดินทางต่างประเทศ
eSIM Data Roaming (HK & China),Other,490,100,ซิมเน็ตไม่จำกัด
งบประมาณอาหารและสตรีทฟู้ดโดยประมาณ,Food,4500,916,ติ่มซำ บาร์บีคิว บะหมี่เกี๊ยว ชานม
